subject	source_repo	survives	disposition	certainty	provenance_shape	verification_shape	verification_sha	verification_sha_date	sha_on_default_branch	live_sha	live_sha_date	repo_delta_status	repo_commits_since	row_status	paths_checked	note
Cross-repo dependencies	websites	yes	distill	MEASURED	paths:2	sha@instant	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	yes	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/AGENT_ORIENTATION.md=UNCHANGED | docs/current-state.md=UNCHANGED	
What websites is and its four services	websites	no	distill	MEASURED	paths:2	sha@instant	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	yes	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	README.md=UNCHANGED | docs/current-state.md=UNCHANGED	
Claude Code vendor delta (from .claude/CLAUDE.md)	fleet-manager	yes	distill	MEASURED	path	sha+instant	2dbfaabd8d7508efca66a493b918e9ba6eead284	2026-09-03T19:44:15Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	.claude/CLAUDE.md=UNCHANGED	
Codex / ChatGPT Work vendor delta (codex.md draft)	fleet-manager	yes	distill	MEASURED	path	sha+instant	43bdfcab3ebd29606fd0b80e1b347264d6c8a06b	2026-08-30T19:04:02Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	codex.md=UNCHANGED	
Root front door (README.md)	fleet-manager	yes	distill	MEASURED	path	sha+instant	2dbfaabd8d7508efca66a493b918e9ba6eead284	2026-09-03T19:44:15Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	README.md=UNCHANGED	
Current work state / next milestone	couch-legend	no	distill	MEASURED	path	sha@instant	d877ed0b611418f35ad9e578785b012a844d1992	2026-08-23T10:00:25Z	yes	254531ba23e169102d316cc009bd7388704cc783	2026-09-04T18:36:58Z	CHANGED_REAUDIT	4	SOURCE_MOVED	docs/current-state.md=MOVED	
No first session has run yet	creator-kit	no	distill	MEASURED	path	sha@instant	741f429a2e96587aa27075085b85df889531d2a7	2026-08-25T21:16:27Z	yes	741f429a2e96587aa27075085b85df889531d2a7	2026-08-25T21:16:27Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	control/status.md=UNCHANGED	
docs/current-state.md and docs/reading-path.md are unrendered substrate-kit templates	creator-kit	yes	distill	MEASURED	path	sha@instant	741f429a2e96587aa27075085b85df889531d2a7	2026-08-25T21:16:27Z	yes	741f429a2e96587aa27075085b85df889531d2a7	2026-08-25T21:16:27Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
No unconsumed owner comments pending routing	fleet-manager	no	archive_only	MEASURED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
No unconsumed owner comments/feedback pending for sim-lab	fleet-manager	no	archive_only	MEASURED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
The consolidation program's NOW pointer — the single current step	fleet-manager	yes	distill	MEASURED	path	sha-only	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/planning/2026-07-26-consolidation-program.md=MOVED	several SHAs; the latest-dated is the verification point
The hub's live purpose, operating era, and live operating mechanisms	fleet-manager	yes	distill	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/current-state.md=MOVED	
Repo is at rest: 0 open PRs, no unconsumed owner comments, one doc-fix commit since the last real work	idea-engine	no	distill	MEASURED	path	instant-only						UNCHANGED_REUSABLE	0	UNCHECKABLE:no-sha-in-verification_point		
docs/current-state.md, not PROJECT-CLOSEOUT.md, is the truly current status source	idea-engine	yes	distill	MEASURED	path	sha@instant	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	yes	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
idea-engine is an on-demand standing asset, not shut down	idea-engine	yes	distill	MEASURED	path	sha@instant	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	yes	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
No open PRs on product-forge at the pinned SHA / as of this audit	product-forge	no	archive_only	MEASURED	api-reference	instant-only						UNCHANGED_REUSABLE	0	UNCHECKABLE:api-reference-not-a-path		
Free-core completion state	shiftlife	no	distill	MEASURED	path	sha@instant	33d9064b376f657fd91e487c66ecb3e626ae3fb9	2026-07-27T21:11:05Z	yes	33d9064b376f657fd91e487c66ecb3e626ae3fb9	2026-07-27T21:11:05Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/plan-conformance.md=UNCHANGED	
sim-lab has zero open PRs and no active work in flight	sim-lab	no	archive_only	MEASURED	api-reference	instant-only						UNCHANGED_REUSABLE	0	UNCHECKABLE:api-reference-not-a-path		
Google Play release state	spider-swing	no	distill	OWNER	path	sha@instant	fc64a3fbb25ff8be21a7bbeceb1d5c8275d614f0	2026-08-23T20:17:00Z	yes	dffb8f5b89c360b05c43455734bb415e6864fafa	2026-09-04T16:31:14Z	CHANGED_REAUDIT	1	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
Current version and release state	substrate-kit	no	distill	MEASURED	path	sha@instant	ff06fb902c6922272f2a338a3a60b528255d57e5	2026-09-01T18:25:00Z	yes	6a82288e9e8164ddb5e0233c11449f0938a6e0b5	2026-09-04T12:30:02Z	CHANGED_REAUDIT	2	SOURCE_UNCHANGED	control/status.md=UNCHANGED	
open PR surface	superbot	no	archive_only	MEASURED	narration	instant-only						UNCHANGED_REUSABLE	0	UNCHECKABLE:no-path-in-source_path		
repo state	superbot	yes	distill	MEASURED	path	sha@instant	5e3a667b2a55bae98a7863dd66492f477dd19546	2026-08-20T23:17:52Z	yes	5e3a667b2a55bae98a7863dd66492f477dd19546	2026-08-20T23:17:52Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
Canonical current-state source	websites	no	archive_only	MEASURED	path	sha@instant	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	yes	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
Local (fleet-manager-authored) skill set — the ~14 SKILL.md files tagged 'local' in docs/SKILLS-local.md	fleet-manager	yes	carry	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/SKILLS-local.md=UNCHANGED	
Required-gate checkers tools/check_doc_routes.py and tools/check_no_false_walls.py	fleet-manager	yes	carry	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	tools/check_no_false_walls.py=UNCHANGED	
Session-governance hook set (.claude/hooks/: route_docs.py, doc-routes.json, change_guard.py, codex_round_guard.py, git_state_guard.py, owner_review.py, read_before_write.py, session_start.py, trigger_tools_guard.py)	fleet-manager	yes	carry	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	.claude/hooks/README.md=UNCHANGED	
The owner-attention indexes are generated by fleet-manager-shaped tools	fleet-manager	yes	distill	MEASURED	paths:2	sha-only	21b19be84dad54d3ca6fc026dcb5477543687bfd	2026-09-04T12:22:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	tools/gen_owner_index.py=UNCHANGED | tools/gen_workbook_progress.py=UNCHANGED	
The owner-comment record schema (record.schema.json v1)	fleet-manager	yes	carry	MEASURED	path	sha@instant	50c1b1e6effd2cd5ba0ae821889e511651cc67c5	2026-09-04T12:19:06Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/owner-comments/record.schema.json=UNCHANGED	
scripts/preflight.py — the local-ritual / CI-gate parity script	fleet-manager	yes	carry	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	scripts/preflight.py=UNCHANGED	
tools/estate_activity.py and the two-lane cross-session visibility design (derived lane + hand-written off-repo lane)	fleet-manager	yes	distill	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/activity/README.md=UNCHANGED	
tools/estate_baseline/ — this seeding run's own tooling (seed_rule.py, delta.py, build_manifest.py, test_delta.py, test_manifest.py, fixtures/)	fleet-manager	yes	carry	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	tools/estate_baseline/seed_rule.py=MOVED	
tools/owner_comments.py — the owner-feedback record contract (check / reindex / consume)	fleet-manager	yes	carry	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	tools/owner_comments.py=UNCHANGED	
